,title,author,year,venue,abstract,container_type,gsrank,num_citations
16,Network intrusion detection based on supervised adversarial variational auto-encoder with regularization,"['Y Yang', 'K Zheng', 'B Wu', 'Y Yang', 'X Wang']",2020,IEEE Access,"To explore the advantages of adversarial learning and deep learning, we  propose a novel network intrusion detection model called SAVAER-DNN, which can not only  detect known and unknown attacks but also improve the detection rate of low-frequent attacks.",Publication,17,30
17,Deep adversarial learning in intrusion detection: A data augmentation enhanced framework,"['H Zhang', 'X Yu', 'P Ren', 'C Luo', 'G Min']",2019,arXiv preprint arXiv:1901.07949,"Intrusion detection systems (IDSs) play an important role in identifying malicious attacks and threats in networking systems. As fundamental tools of IDSs, learning based classification methods have been widely employed. When it comes to detecting network intrusions in",Publication,18,24
18,Investigating adversarial attacks against network intrusion detection systems in sdns,"['J Aiken', 'S Scott-Hayward']",2019,2019 IEEE Conference on Network …,"We implement an anomaly-based NIDS, Neptune, as a target platform that utilises a number  of different machine learning classifiers and traffic flow features. We develop an adversarial  test tool, Hydra, to evaluate the impact of adversarial evasion classifier attacks against",Publication,19,17
19,Deep learning-based intrusion detection with adversaries,['Z Wang'],2018,IEEE Access,"learning to intrusion detection, we still hardly know the vulnerability of deep learning in the  intrusion detection domain against adversarial  In this paper, we will present a comprehensive  study of the deep learning based intrusion detection with adversaries. We will evaluate the",Publication,20,122
20,G-ids: Generative adversarial networks assisted intrusion detection system,"['MH Shahriar', 'NI Haque', 'MA Rahman']",2020,2020 IEEE 44th …,"However, emerging CPS technologies suffer from imbalanced and missing sample data,  which makes the training of IDS difficult. In this paper, we propose a generative adversarial  network (GAN) based intrusion detection system (G-IDS), where GAN generates synthetic",Publication,21,19
21,Adversarial deep learning against intrusion detection classifiers,['M Rigaki'],2017,NA,"Traditional approaches in network intrusion detection follow a signature-based approach, however the use of anomaly detection approaches based on machine learning techniques have been studied heavily for the past twenty years. The continuous change in the way",Publication,22,19
22,Robustness of deep autoencoder in intrusion detection under adversarial contamination,"['P Madani', 'N Vlajic']",2018,Proceedings of the 5th Annual Symposium and …,"To be able to evaluate the susceptibility of these IDSs to deliberate adversarial poisoning, we  have developed a novel framework for their performance testing under adversarial  contamination. We have also studied the viability of using deep autoencoders in the detection of",Publication,23,35
23,"Adversarial attacks against intrusion detection systems: Taxonomy, solutions and open issues","['I Corona', 'G Giacinto', 'F Roli']",2013,Information Sciences,"In Section 1.1 we present the general architecture of IDSs, and subdivide the intrusion  detection task into three distinct phases, namely, measurement, classification and response.  In Section 1.2 we provide a taxonomy of attacks against IDSs, that will be used as reference",Publication,24,175
24,MANDA: On Adversarial Example Detection for Network Intrusion Detection System,"['N Wang', 'Y Chen', 'Y Hu', 'W Lou']",2021,IEEE INFOCOM 2021 …,"The proposed AE detector, ie MANDA, is placed in front of the intrusion detection module  so as to detect and reject adversarial examples before they are fed into the IDS model. So  the purpose of the AE detector is to decide whether an input sample is an AE or not. With the",Publication,25,1
25,Adversarial attack against dos intrusion detection: An improved boundary-based method,"['X Peng', 'W Huang', 'Z Shi']",2019,2019 IEEE 31st International …,"Furthermore, we evaluate the effectiveness of our method and results suggest it is an  query-efficient method towards crafting adversarial DoS samples. The major contributions of this  work are as follows: • We give the very first study of a kind of DoS adversarial attacks. A threat",Publication,26,11
26,Intrusion detection for cyber–physical systems using generative adversarial networks in fog environment,"['PF de Araujo-Filho', 'G Kaddoum']",2020,IEEE Internet of …,"In this article, we propose FID-GAN, a novel fog-based, unsupervised intrusion detection  system (IDS) for CPSs using GANs. The IDS is proposedforafogarchitecture,whichbringscomputationresources  closer to the end nodes and thus contributes to meeting lowlatency",Publication,27,10
27,IGAN-IDS: An imbalanced generative adversarial network towards intrusion detection system in ad-hoc networks,"['S Huang', 'K Lei']",2020,Ad Hoc Networks,"To address the class imbalance problem in intrusion detection, we propose a novel Imbalance  Generative Adversarial Network (IGAN) to generating representative samples for minority  classes. IGAN filters the data to ensure only generating samples for minority classes, aiming",Publication,28,31
28,Adversarial Machine Learning: A Comparative Study on Contemporary Intrusion Detection Datasets.,"['Y Pacheco', 'W Sun']",2021,ICISSP,"Studies have shown the vulnerability of machine learning algorithms against adversarial samples in image classification problems in deep neural networks. However, there is a need for performing comprehensive studies of adversarial machine learning in the intrusion",Publication,29,6
29,Improving network intrusion detection classifiers by non-payload-based exploit-independent obfuscations: An adversarial approach,"['I Homoliak', 'M Teknos', 'M Ochoa']",2018,arXiv preprint arXiv …,"Scope and Assumptions: Due to efficiency reasons as well as pervasive encryption, we  assume in this work a classification-based network intrusion detection system that does not  perform deep packet inspection and its model works with TCP connections objects, not single",Publication,30,16
30,End-to-end adversarial learning for intrusion detection in computer networks,"['B Mohammadi', 'M Sabokrou']",2019,2019 IEEE 44th Conference on …,"This paper presents a simple yet efficient method for an anomaly-based Intrusion Detection System (IDS). In reality, IDSs can be defined as a one-class classification system, where the normal traffic is the target class. The high diversity of network attacks in addition to the need",Publication,31,9
31,Intrusion Detection System using Semi-Supervised Learning with Adversarial Auto-encoder,"['K Hara', 'K Shiomoto']",2020,NOMS 2020-2020 IEEE/IFIP Network …,"As computer networks become vulnerable to attacks from intruders, Intrusion Detection Systems (IDS) is a critical component that monitors activities of computer networks and classifies them as either normal or anomalous. Remarkable advancement of machine",Publication,32,6
32,Anomaly generation using generative adversarial networks in host-based intrusion detection,"['M Salem', 'S Taheri', 'JS Yuan']",2018,2018 9th IEEE Annual …,"The generated anomalies are then added to the anomaly distribution and are shown to  help detect unseen anomalies after training an artificial neural network (ANN). Therefore, the  main goal of this work is to improve the performance of host-based intrusion detection systems",Publication,33,23
33,Addressing imbalanced data problem with generative adversarial network for intrusion detection,"['I Yilmaz', 'R Masum', 'A Siraj']",2020,2020 IEEE 21st International …,"as required by the training model. • To solve the imbalanced dataset problem with the  UGR’16 intrusion detection dataset, we introduced  Our goal is to create a balanced intrusion  detection dataset with application of GAN technology for better intrusion detection and analysis.",Publication,34,12
34,Evaluating deep learning based network intrusion detection system in adversarial environment,"['Y Peng', 'J Su', 'X Shi', 'B Zhao']",2019,2019 IEEE 9th International …,"Deep learning plays a vital role in network security field. Furthermore, the performance of deep learning based Network Intrusion Detection System (NIDS) is satisfactory and even better than the traditional methods. However, recent researches show that the accuracy of",Publication,35,9
35,Stream learning and anomaly-based intrusion detection in the adversarial settings,"['E Viegas', 'A Santin', 'V Abreu']",2017,2017 IEEE Symposium …,"Despite existing many anomaly-based intrusion detection studies in the literature, they are not frequently adopted by the industry in production environments (products). Such a usage gap occurs mainly due to the difficulty to maintain the detection rate in acceptable level",Publication,36,10
36,Gids: Gan based intrusion detection system for in-vehicle network,"['E Seo', 'HM Song', 'HK Kim']",2018,"… on Privacy, Security and Trust (PST …","To solve these problems, we propose GIDS (Generative Adversarial Nets based Intrusion  Detection System) which has the following characteristics: expandability, effectiveness, and  security. 1) Expandability: GIDS maintains consistent detection methodology even if in-vehicle",Publication,37,109
37,Intrusion detection for industrial control systems: Evaluation analysis and adversarial attacks,"['G Zizzo', 'C Hankin', 'S Maffeis', 'K Jones']",2019,arXiv preprint arXiv:1911.04278,• We demonstrate the vulnerability of time series based intrusion detection to adversarial  examples and are able to hide a range of real cyber-physical attacks from an IDS on an  industrial control system (ICS). • We discuss potential pitfalls with tuning and evaluating,Publication,38,12
38,Launching Adversarial Attacks against Network Intrusion Detection Systems for IoT,"['P Papadopoulos', 'OT Essen', 'N Pitropakis']",2021,… of Cybersecurity and …,"However, the Bot-IoT dataset finds itself still in its early days, and to the best of our  knowledge, no other work in the literature has used it to study adversarial machine learning.  The Bot-IoT dataset was created in a simulated environment formed up of victim and attacking",Publication,39,3
39,Enhancing robustness against adversarial examples in network intrusion detection systems,"['MJ Hashemi', 'E Keller']",2020,2020 IEEE Conference on Network …,"In this paper, in order to evaluate our NIDS in an adversarial setting, we follow their threat  model and use the algorithms and transformations introduced by them to craft adversarial  examples against our NIDS. More specifically, we consider that the attacker has a copy of the",Publication,40,8
40,Tiki-taka: Attacking and defending deep learning-based intrusion detection systems,"['C Zhang', 'X Costa-Pérez', 'P Patras']",2020,Proceedings of the 2020 ACM …,"In this paper, we tackle the severe intrusion detection issues faced by classifiers under  adversarial attacks. We first scrutinize the robustness of state-of-the-art deep learning NID  models against different adversarial mechanisms, considering attacks in practical decision-based",Publication,41,7
41,DReLAB-Deep REinforcement Learning Adversarial Botnet: A benchmark dataset for adversarial attacks against botnet Intrusion Detection Systems,"['A Venturi', 'G Apruzzese', 'M Andreolini', 'M Colajanni']",2021,Data in Brief,We present the first dataset that aims to serve as a benchmark to validate the resilience of botnet detectors against adversarial attacks. This dataset includes realistic adversarial samples that are generated by leveraging two widely used Deep Reinforcement Learning,Publication,42,2
42,Domain-adversarial transfer learning for robust intrusion detection in the smart grid,"['Y Zhang', 'J Yan']",2019,… and Computing Technologies for Smart Grids …,"The smart grid faces growing cyber-physical attack threats aimed at the critical systems and processes communicating over the complex cyber-infrastructure. Thanks to the increasing availability of high-quality data and the success of deep learning algorithms, machine",Publication,43,4
43,Addressing adversarial attacks against security systems based on machine learning,"['G Apruzzese', 'M Colajanni', 'L Ferretti']",2019,… Conference on Cyber …,"settings (eg, [7, 10]) consider a limited number of cyber security problems, few machine-learning  classifiers, and a restricted subset of adversarial attacks. The main focus is on spam and  malware analysis [11, 12], while we consider this issue from a network intrusion detection",Publication,44,30
44,Intrusion Detection for Secure Social Internet of Things Based on Collaborative Edge Computing: A Generative Adversarial Network-Based Approach,"['L Nie', 'Y Wu', 'X Wang', 'L Guo', 'G Wang']",2021,IEEE Transactions on …,"learning architecture based on GAN is designed for intrusion detection aiming at a single  attack. Finally, we propose a new intrusion detection model by combining several intrusion  detection  intrusion detection models aiming at a single attack, we design an intrusion detection",Publication,45,1
45,An adversarial learning model for intrusion detection in real complex network environments,"['Y Zhong', 'Y Zhu', 'Z Wang', 'X Yin', 'X Shi', 'K Li']",2020,International Conference on …,"Network intrusion detection plays an important role in network security. With the deepening of machine learning research, especially the generative adversarial networks (GAN) proposal, the stability of the anomaly detector is put forward for higher requirements. The",Publication,46,1
46,Active learning intrusion detection using k-means clustering selection,['S McElwee'],2017,SoutheastCon 2017,"study proposes an Active Learning Intrusion Detection System (ALIDS) machine learning  algorithm that applies active learning to the task of intrusion detection unique nature of machine  learning for intrusion detection, in that it operates in an adversarial environment and is itself",Publication,47,18
47,Semi-Supervised Domain-Adversarial Training for Intrusion Detection against False Data Injection in the Smart Grid,"['Y Zhang', 'J Yan']",2020,… Joint Conference on Neural Networks (IJCNN …,"The smart grid faces with increasingly sophisticated cyber-physical threats, against which machine learning (ML)-based intrusion detection systems have become a powerful and promising solution to smart grid security monitoring. However, many ML algorithms presume",Publication,48,2
48,Adversarial machine learning applied to intrusion and malware scenarios: a systematic review,"['N Martins', 'JM Cruz', 'T Cruz', 'PH Abreu']",2020,IEEE Access,"In this section, we explore different works that have applied adversarial machine learning to  intrusion and malware detection scenarios. We selected all articles found on intrusion detection,  and selected the most cited on malware detection. Maria Rigaki and Ahmed Elragal first",Publication,49,35
49,Towards evaluation of nidss in adversarial setting,"['MJ Hashemi', 'G Cusack', 'E Keller']",2019,"… on Big DAta, Machine Learning and …","To evaluate network intrusion detection systems, we used a highly cited dataset containing  network traces of twelve network attacks from the Canadian Institute of Cybersecurity (CIC)  1 [22]. Sharafaldin et al. in [22] compared eleven available datasets based on eleven criteria",Publication,50,16
50,Intrusion detection with hypergraph-based attack models,"['A Guzzo', 'A Pugliese', 'A Rullo', 'D Sacca']",2014,Graph Structures for Knowledge …,"Besides discussing the main features of the model, we study the problems of checking the  consistency of attack models and detecting  consistency checking for attack models and give  related theoretical results. In Section 4 we formally define the intrusion detection problem we",Publication,51,21
51,Anomaly-based network intrusion detection using wavelets and adversarial autoencoders,"['S Puuska', 'T Kokkonen', 'J Alatalo', 'E Heilimo']",2018,International Conference on …,"In this paper, an anomaly-based intrusion detection system using Haar wavelet transforms in  combination with an adversarial autoencoder was developed for detecting malicious  TLS-encrypted Internet traffic. Data containing legitimate, as well as advanced malicious traffic was",Publication,52,9
52,Collaborative intrusion detection for VANETs: a deep learning-based distributed SDN approach,"['J Shu', 'L Zhou', 'W Zhang', 'X Du']",2020,IEEE Transactions on …,"• We explore deep learning with generative adversarial networks to design an efficient  collaborative intrusion detection method, which enables all the distributed SDN controllers to  jointly train an effective detection model for the entire network without directly exchanging their",Publication,53,16
53,Network Intrusion Detection Using Deep Learning: A Feature Learning Approach,"['K Kim', 'ME Aminanto', 'HC Tanuwidjaja']",2018,NA,"This monograph presents recent advances in Intrusion Detection System (IDS) using deep  learning models, which have achieved great  which consists of supervised, unsupervised,  semi-supervised, weakly supervised, reinforcement, and adversarial machine learning. It",Publication,54,34
54,A resilient stream learning intrusion detection mechanism for real-time analysis of network traffic,"['E Viegas', 'A Santin', 'N Neves']",2017,… 2017-2017 IEEE …,"traffic measurement approach that supports resilient analysis for stream learning intrusion  detection. The network data is grouped at runtime  In addition, we propose a resilient stream  learning intrusion detection technique that addresses adversarial settings. Our proposal relies",Publication,55,15
55,Network Intrusion Detection Systems Using Adversarial Reinforcement Learning with Deep Q-network,"['E Suwannalai', 'C Polprasert']",2020,2020 18th International …,"In this paper, we investigate the performance of deep reinforcement learning (DRL) in network intrusion detection systems (NIDS) problems. We propose the Adversarial/Multi Agent Reinforcement Learning using Deep Q-Learning (AE-DQN) algorithm for anomaly",Publication,56,4
56,Bagging classifiers for fighting poisoning attacks in adversarial classification tasks,"['B Biggio', 'I Corona', 'G Fumera', 'G Giacinto']",2011,International workshop on …,"We start describing the experimental setup for the spam filtering and web-based intrusion  detection tasks. In both experiments performance was evaluated as proposed in [12]. In  particular, we computed the area under the ROC curve (AUC) in the region corresponding to FP",Publication,57,96
57,Indoor WLAN personnel intrusion detection using transfer learning-aided generative adversarial network with light-loaded database,"['M Zhou', 'Y Li', 'H Yuan', 'J Wang', 'Q Pu']",2021,Mobile Networks and Applications,"The Internet of Everything (IoE) provides a platform that allows devices to be remotely connected, sensed, and controlled across the network infrastructure. The smart home in the era of the IoE is born on the basis of the high integration of emerging",Publication,58,1
58,Attention based multi-agent intrusion detection systems using reinforcement learning,"['K Sethi', 'YV Madhav', 'R Kumar', 'P Bera']",2021,Journal of Information Security and …,"Thus, we evaluated our model’s robustness against a practical black-box adversarial attack  and observed only a little degradation in performance. We integrated the concept of denoising  autoencoder (DAE) with our model to further improve its robustness. Finally, we discuss",Publication,59,1
59,Federated Intrusion Detection In NG-IoT Healthcare Systems: An Adversarial Approach,"['I Siniosoglou', 'P Sarigiannidis']",2021,ICC 2021-IEEE …,a Federated Learning architecture for Intrusion Detection (ID) in MCPS networks by utilizing  the Generative Adversarial Network (GAN) DL  One of the goals of this work is to produce a  GAN Deep Neural Network model to be used for intrusion detection from healthcare data. To,Publication,60,1
60,A context-aware robust intrusion detection system: a reinforcement learning-based approach,"['K Sethi', 'ES Rupesh', 'R Kumar', 'P Bera']",2020,International Journal of …,", we discuss background information on reinforcement learning and adversarial machine  learning. We present the state-of-the-art works  In this section, we present our proposed intrusion  detection system using deep reinforcement learning. Before presenting the components of",Publication,61,12
61,A survey of neural networks usage for intrusion detection systems,"['A Drewek-Ossowicka', 'M Pietrołaj']",2021,Journal of Ambient …,"This article gives a thorough overview of recent literature regarding neural networks usage in  intrusion detection system area, including surveys  detecting, input reconstruction and  network verification, while the second type contains network distillation, adversarial training and",Publication,62,20
62,Rallying adversarial techniques against deep learning for network security,"['J Clements', 'Y Yang', 'A Sharma', 'H Hu', 'Y Lao']",2019,arXiv preprint arXiv …,"In this paper, we analyze the current state-ofthe art in deep learning based network intrusion  detection system (DL-NIDS). Specifically, we investigate the security of a recently proposed  DL-NIDS, Kitsune, which offers a similar level of the defensive capability as traditional",Publication,63,17
63,Adversarial machine learning beyond the image domain,"['G Zizzo', 'C Hankin', 'S Maffeis']",2019,2019 56th ACM/IEEE …,machine learning alongside work using machine learning for intrusion detection. With the  majority of adversarial machine learning research  focused on computer vision a different set  of modelling requirements becomes necessary when discussing intrusion detection domain.,Publication,64,14
64,"Survey of intrusion detection systems: techniques, datasets and challenges","['A Khraisat', 'I Gondal', 'P Vamplew', 'J Kamruzzaman']",2019,Cybersecurity,"In this paper, we provide a structured and contemporary, wide-ranging study on intrusion  detection system in terms of techniques and  This study also examines four common evasion  techniques to determine their ability to evade the recent IDSs. An effective IDS should be",Publication,65,298
65,Explainability and adversarial robustness for rnns,"['A Hartl', 'M Bachl', 'J Fabini']",2020,2020 IEEE Sixth …,"In the past, a viable way of performing intrusion detection was to inspect the content of  packets themselves and detect if a packet delivers potentially harmful content. More recently,  with the increasing deployment of encryption, the focus now lies on features that are always",Publication,66,10
66,On the (statistical) detection of adversarial examples,"['K Grosse', 'P Manoharan', 'N Papernot', 'M Backes']",2017,arXiv preprint arXiv …,"Machine Learning (ML) models are applied in a variety of tasks such as network intrusion  detection or malware classification. Yet, these models are vulnerable to a class of malicious  inputs known as adversarial examples. These are slightly perturbed inputs that are classified",Publication,67,494
67,Automatically synthesizing DoS attack traces using generative adversarial networks,"['Q Yan', 'M Wang', 'W Huang', 'X Luo', 'FR Yu']",2019,… Journal of Machine Learning …,Network intrusion detection systems (NIDS) based deep learning such as convolutional  neural network (CNN) have reached a very high  to generate adversarial examples will help  us to understand the weakness of network intrusion detection system based on deep learning.,Publication,68,22
68,Network intrusion detection using generative adversarial networks.,['X Zhang'],2020,NA,This work proposes to use current existing GANs and their variants for network intrusion  detection using real dataset and show the  Adversarial Networks (BiGAN) on its detection  efficiency in intrusion detection. As more and more information security researchers pay at-,Publication,69,1
69,Adversarial attack against LSTM-based DDoS intrusion detection system,"['W Huang', 'X Peng', 'Z Shi', 'Y Ma']",2020,2020 IEEE 32nd International …,"Drawing ideas from generating adversarial texts [1, 19], we aim to generate high-quality  DDoS adversarial sample by replacing or inserting  In this paper, we study adversarial attack  against LSTMbased DDoS detector under a black-box setting. In addition, we propose GA and",Publication,70,2
70,An adversarial approach for intrusion detection systems using Jacobian Saliency Map Attacks (JSMA) Algorithm,"['AUH Qureshi', 'H Larijani', 'M Yousefi', 'A Adeel', 'N Mtetwa']",2020,Computers,"The rest of the paper sections are organized as follows: review of the literature reported in  this research related to adversarial attacks, intrusion detection and random neural networks  (RNN) is discussed in Section 2. The methodology for Adversarial attack crafting using",Publication,71,2
71,Aesmote: Adversarial reinforcement learning with smote for anomaly detection,"['X Ma', 'W Shi']",2020,IEEE Transactions on Network Science and …,"In this paper, we present a novel framework for the detection of anomalies, which, in  particular, supports intrusion detection. The anomaly-detection framework we propose combines  reinforcement learning with class-imbalance techniques. Our goal is not only to exploit the auto-",Publication,72,11
72,Sampling attack against active learning in adversarial environment,"['W Zhao', 'J Long', 'J Yin', 'Z Cai', 'G Xia']",2012,International Conference on …,"learning has received widely attention because a learning-based system may not work well  in environments (including intrusion detection, spam filtering and so on) with adversarial   on the learning-based intrusion detection problem in which machine learning methods have",Publication,73,15
73,Adversarial Communication Networks Modeling for Intrusion Detection Strengthened against Mimicry,"['JM Vidal', 'MAS Monge']",2019,… of the 14th International Conference on …,"(concept drift) and susceptibility to evasion methods based on adversarial machine learning  [20], the latter being the main target of our research. In order to contribute to their mitigation,  this paper introduces a novel intrusion detection strategy resistant against mimicry, built on",Publication,74,2
74,Evading botnet detectors based on flows and random forest with adversarial samples,"['G Apruzzese', 'M Colajanni']",2018,2018 IEEE 17th International …,"In this paper, we explore this problem from the perspective of a network intrusion detection  system based on machine learning algorithms. More specifically, we analyze and expose the  fragility against adversarial attacks of a botnet detector based on a random forest classifier",Publication,75,21
75,Adversarial data mining: Big data meets cyber security,"['M Kantarcioglu', 'B Xi']",2016,Proceedings of the 2016 ACM SIGSAC conference …,"Adversarial data mining techniques provide an alternative approach for intrusion detection.   how adversarial data mining theory and tools could be applied to intrusion detection. In   for intrusion detection (eg, [7]) and how they could be updated in the light of recent adversarial",Publication,76,20
76,Intrusion learning: an overview of an emergent discipline,"['AJ Bailetti', 'M Gad', 'A Shah']",2016,… Innovation Management Review,"Adversarial context: Intrusion learning must deal with the existence of talented and determined  adversaries. The presence of the  intrusion learning as a domain that draws from machine  learning, intrusion detection, and streaming network data. A key benefit of intrusion learning",Publication,77,12
77,Design of robust classifiers for adversarial environments,"['B Biggio', 'G Fumera', 'F Roli']",2011,2011 IEEE International …,"In adversarial classification tasks like spam filtering, intrusion detection in  computer networks, and biometric identity verification, malicious adversaries can design attacks  which exploit vulnerabilities of machine learning algorithms to evade detection, or to force a",Publication,78,40
78,Network Intrusion Detection on the IoT Edge Using Adversarial Autoencoders,"['F Aloul', 'I Zualkernan', 'N Abdalgawad']",2021,2021 International …,"In this paper, we show how deep learning can be used to build state-of-the intrusion detection  algorithms that can be executed on small routers near the IoT edge. Adversarial autoencoders  with the K nearest neighbor algorithm were trained on the NSL-KDD intrusion data set to",Publication,79,0
79,Evaluation of GAN applicability for intrusion detection in self-organizing networks of cyber physical systems,"['V Belenko', 'V Chernenko', 'M Kalinin']",2018,2018 International …,"The most promising approach to creating an effective intrusion detection system is the use  of artificial neural networks. Solving this task, we examined the generative adversarial neural  networks. Practical implementation has demonstrated that the approaches considered in this",Publication,80,29
80,Adversarial attacks on SDN-based deep learning IDS system,"['CH Huang', 'TH Lee', 'L Chang', 'JR Lin']",2018,… Conference on Mobile and …,on adversarial attacks for deep learning detecting system. We propose a novel class of  adversarial attacks that exploits the vulnerability of the deep learning  The application of machine  learning or deep learning on the intrusion detection will release the dependency on domain,Publication,81,22
81,Evaluation of Adversarial Training on Different Types of Neural Networks in Deep Learning-based IDSs,"['R Abou Khamis', 'A Matrawy']",2020,2020 International Symposium on …,"In section II, we provide a background of adversarial samples and thread model. In Section III,  we present a literature review of some related work in deep learning-based Intrusion detection.  In Section IV, We explorer our methodology including the IDS framework and algorithm.",Publication,82,1
82,Adaptive Intrusion Detection System via online machine learning,"['HT Nguyen', 'K Franke']",2012,2012 12th International Conference on …,"Adaptation of Intrusion Detection Systems (IDSs) in the heterogeneous and  adversarial network environments is crucial. We design an adaptive IDS that has 10% higher  accuracy than the best of four different baseline IDSs. Rather than creating a new 'super' IDS, we",Publication,83,19
83,Adversarial machine learning,"['Y Vorobeychik', 'M Kantarcioglu']",2018,… and Machine Learning,"In intrusion detection systems, a hacker would wish to revise the automated tools and  study  a number of common problems in adversarial learning. We start with an overview of standard  machine learning approaches, with a discussion of how they can be applied in adversarial",Publication,84,163
