"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Papers Title","",,"2021 26th International Computer Conference, Computer Society of Iran (CSICC)","7 May 2021","2021","","","i","iv","Lists the papers that make up this conference proceedings volume.","","978-1-6654-1241-4","10.1109/CSICC52343.2021.9420588","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9420588","","","","","","","","","","7 May 2021","","","IEEE","IEEE Conferences"
"Beyond Zero Trust: Trust Is a Vulnerability","M. Campbell",EVOTEK,"Computer","25 Sep 2020","2020","53","10","110","113","Trust is a vulnerability and, like all vulnerabilities, should be eliminated. Zero trust is a systemic approach to information security that trusts no user, transaction, or network traffic unless verified.","1558-0814","","10.1109/MC.2020.3011081","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206246","","Trust management;Computer architecture;Automation;Computer security;Iinformation security;Virtual private networks","security of data;trusted computing","zero trust;information security","","2","","13","IEEE","25 Sep 2020","","","IEEE","IEEE Magazines"
"Table of contents","",,"2018 International Conference on Information and Telecommunication Technologies and Radio Electronics (UkrMiCo)","26 Mar 2020","2018","","","i","ix","Presents the table of contents/splash page of the proceedings record.","","978-1-5386-5264-0","10.1109/UkrMiCo43733.2018.9047592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9047592","","","","","","","","","","26 Mar 2020","","","IEEE","IEEE Conferences"
"Keyword Index","",,"2020 7th International Conference on Behavioural and Social Computing (BESC)","16 Feb 2021","2020","","","1","5","Contains an entry for each technical presentation included in this conference proceedings.","","978-1-7281-8605-4","10.1109/BESC51023.2020.9348294","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9348294","","","","","","","","","","16 Feb 2021","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 7th International Forum on Electrical Engineering and Automation (IFEEA)","25 Feb 2021","2020","","","1","23","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-9627-5","10.1109/IFEEA51475.2020.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9356867","","","","","","","","","","25 Feb 2021","","","IEEE","IEEE Conferences"
"Content","",,"2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","17 Jan 2019","2018","","","1","10","The following topics are dealt with: Internet of Things; learning (artificial intelligence); mobile computing; cloud computing; feature extraction; Internet; wireless sensor networks; mobile radio; computer aided instruction; data mining.","","978-1-5386-7266-2","10.1109/IEMCON.2018.8614953","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8614953","","","cloud computing;feature extraction;Internet of Things;learning (artificial intelligence);mobile computing","Internet of Things;learning (artificial intelligence);mobile computing;cloud computing;feature extraction;Internet;wireless sensor networks;mobile radio;computer aided instruction;data mining","","","","","","17 Jan 2019","","","IEEE","IEEE Conferences"
"Table of contents","",,"2018 International Conference on Advances in Computing, Communications and Informatics (ICACCI)","2 Dec 2018","2018","","","1","23","Presents the table of contents/splash page of the proceedings record.","","978-1-5386-5314-2","10.1109/ICACCI.2018.8554765","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8554765","","","","","","","","","","2 Dec 2018","","","IEEE","IEEE Conferences"
"Table of contents","",,"2020 54th Annual Conference on Information Sciences and Systems (CISS)","7 May 2020","2020","","","i","vii","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4085-8","10.1109/CISS48834.2020.9086271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086271","","","","","","","","","","7 May 2020","","","IEEE","IEEE Conferences"
"TECHNICAL SESSION","",,"2020 International Conference on Computer Engineering, Network, and Intelligent Multimedia (CENIM)","24 Dec 2020","2020","","","i","xiii","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-7281-8283-4","10.1109/CENIM51130.2020.9297987","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9297987","","","","","","","","","","24 Dec 2020","","","IEEE","IEEE Conferences"
"[Front cover]","",,"2020 Chinese Control And Decision Conference (CCDC)","11 Aug 2020","2020","","","c1","c98","Presents the front cover or splash screen of the proceedings record.","1948-9447","978-1-7281-5855-6","10.1109/CCDC49329.2020.9164643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9164643","","","","","","","","","","11 Aug 2020","","","IEEE","IEEE Conferences"
"SoutheastCon 2019 Author Index","",,"2019 SoutheastCon","5 Mar 2020","2019","","","i","lxx","Presents an index of the authors whose articles are published in the conference proceedings record.","1558-058X","978-1-7281-0137-8","10.1109/SoutheastCon42311.2019.9020629","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9020629","","","","","","","","","","5 Mar 2020","","","IEEE","IEEE Conferences"
"[Front cover]","",,"2019 Design, Automation & Test in Europe Conference & Exhibition (DATE)","16 May 2019","2019","","","c1","c126","The following topics are dealt with: learning (artificial intelligence); integrated circuit design; multiprocessing systems; neural nets; power aware computing; microprocessor chips; field programmable gate arrays; embedded systems; system-on-chip; optimisation.","1558-1101","978-3-9819263-2-3","10.23919/DATE.2019.8715180","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8715180","","","integrated circuit design;learning (artificial intelligence);multiprocessing systems;neural nets;power aware computing","learning (artificial intelligence);integrated circuit design;multiprocessing systems;neural nets;power aware computing;microprocessor chips;field programmable gate arrays;embedded systems;system-on-chip;optimisation","","","","","","16 May 2019","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 16th International Conference on Computational Intelligence and Security (CIS)","27 Apr 2021","2020","","","v","xiii","Presents the table of contents/splash page of the proceedings record.","","978-1-6654-0445-7","10.1109/CIS52066.2020.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9407465","","","","","","","","","","27 Apr 2021","","","IEEE","IEEE Conferences"
"WIECON-ECE 2020 at a Glance","",,"2020 IEEE International Women in Engineering (WIE) Conference on Electrical and Computer Engineering (WIECON-ECE)","12 Apr 2021","2020","","","1","25","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-6654-1917-8","10.1109/WIECON-ECE52138.2020.9397944","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9397944","","","","","","","","","","12 Apr 2021","","","IEEE","IEEE Conferences"
"[CASES 2020 Front matter]","",,"2020 International Conference on Compilers, Architecture, and Synthesis for Embedded Systems (CASES)","4 Nov 2020","2020","","","i","lx","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","2643-1726","978-1-7281-9192-8","10.1109/CASES51649.2020.9243790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9243790","","","","","","","","","","4 Nov 2020","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 11th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA)","7 Oct 2019","2019","","","5","21","Presents the table of contents/splash page of the proceedings record.","2157-1481","978-1-7281-2165-9","10.1109/ICMTMA.2019.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8858743","","","","","","","","","","7 Oct 2019","","","IEEE","IEEE Conferences"
"Table of contents","",,"2018 International Conference on Computational Science and Computational Intelligence (CSCI)","2 Jan 2020","2018","","","5","35","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-1360-9","10.1109/CSCI46756.2018.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8947745","","","","","","","","","","2 Jan 2020","","","IEEE","IEEE Conferences"
"Program","",,"2021 3rd International Cyber Resilience Conference (CRC)","5 Apr 2021","2021","","","i","ix","Provides a schedule of conference events and a listing of which papers were presented in each session.","","978-1-6654-1844-7","10.1109/CRC50527.2021.9392461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9392461","","","","","","","","","","5 Apr 2021","","","IEEE","IEEE Conferences"
"ICCC 2019 Table of Contents","",,"2019 IEEE 5th International Conference on Computer and Communications (ICCC)","13 Apr 2020","2019","","","iii","xxxiv","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4743-7","10.1109/ICCC47050.2019.9064046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9064046","","","","","","","","","","13 Apr 2020","","","IEEE","IEEE Conferences"
"IEEE SoutheastCon 2020 Author Index","",,"2020 SoutheastCon","13 Nov 2020","2020","","","1","31","Presents an index of the authors whose articles are published in the conference proceedings record.","1558-058X","978-1-7281-6861-6","10.1109/SoutheastCon44009.2020.9249685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9249685","","","","","","","","","","13 Nov 2020","","","IEEE","IEEE Conferences"
"Feature Selection Techniques for Intrusion Detection using Non-Bio-Inspired and Bio-Inspired Optimization Algorithms","V. R. Balasaraswathi; M. Sugumaran; Y. Hamid","Department of Computer Science Engineering, Pondicherry Engineering College, Pondicherry University, Pondicherry 605014, India; Department of Computer Science Engineering, Pondicherry Engineering College, Pondicherry University, Pondicherry 605014, India; Department of Computer Science Engineering, Pondicherry Engineering College, Pondicherry University, Pondicherry 605014, India","Journal of Communications and Information Networks","6 Feb 2020","2017","2","4","107","119","As Internet access widens, IDS (Intrusion Detection System) is becoming a very important component of network security to prevent unauthorized use and misuse of data. An IDS routinely handles massive amounts of data traffic that contain redundant and irrelevant features, which impact the performance of the IDS negatively. Feature selection methods play an important role in eliminating unrelated and redundant features in IDS. Statistical analysis, neural networks, machine learning, data mining techniques, and support vector machine models are employed in some such methods. Good feature selection leads to better classification accuracy. Recently, bio-inspired optimization algorithms have been used for feature selection. This work provides a survey of feature selection techniques for IDS, including bio-inspired algorithms.","2509-3312","","10.1007/s41650-017-0033-7","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8932293","IDS;feature selection;optimization;classification;bio-inspired algorithm","","","","","6","","","","6 Feb 2020","","","PTP","PTP Journals"
"Table of Contents","",,"2021 IEEE 6th International Conference on Computer and Communication Systems (ICCCS)","21 Jun 2021","2021","","","iii","xvii","Presents the table of contents/splash page of the proceedings record.","","978-1-6654-1256-8","10.1109/ICCCS52626.2021.9449235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9449235","","","","","","","","","","21 Jun 2021","","","IEEE","IEEE Conferences"
"NigeriaComputConf 2019 Keyword Index","",,"2019 2nd International Conference of the IEEE Nigeria Computer Chapter (NigeriaComputConf)","6 Jan 2020","2019","","","1","7","Contains an entry for each technical presentation included in this conference proceedings.","","978-1-7281-0713-4","10.1109/NigeriaComputConf45974.2019.8949638","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949638","","","","","","","","","","6 Jan 2020","","","IEEE","IEEE Conferences"
"2018 Index IEEE Transactions on Smart Grid Vol. 9","",,"IEEE Transactions on Smart Grid","28 Oct 2018","2018","9","6","7001","7094","This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index.","1949-3061","","10.1109/TSG.2018.2878367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8513909","","","","","","","","","IEEE","28 Oct 2018","","","IEEE","IEEE Journals"
"ICCE 2019 Technical Program","",,"2019 IEEE International Conference on Consumer Electronics (ICCE)","7 Mar 2019","2019","","","i","xliv","Provides a schedule of conference events and a listing of which papers were presented in each session.","2158-4001","978-1-5386-7910-4","10.1109/ICCE.2019.8661996","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8661996","","","","","","","","","","7 Mar 2019","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2021 IEEE Security and Privacy Workshops (SPW)","8 Jul 2021","2021","","","4","10","Presents the table of contents/splash page of the proceedings record.","","978-1-6654-3732-5","10.1109/SPW53761.2021.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9474301","","","","","","","","","","8 Jul 2021","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 Federated Conference on Computer Science and Information Systems (FedCSIS)","7 Oct 2019","2019","","","v","xiii","Presents the table of contents/splash page of the proceedings record.","2300-5963","978-83-952357-8-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859835","","","","","","","","","","7 Oct 2019","","","IEEE","IEEE Conferences"
"2019 Index IEEE Internet of Things Journal Vol. 6","",,"IEEE Internet of Things Journal","22 Jan 2020","2019","6","6","10941","11095","Presents the 2019 subject/author index for this publication.","2327-4662","","10.1109/JIOT.2020.2968143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964519","","","","","","","","","IEEE","22 Jan 2020","","","IEEE","IEEE Journals"
"Table of Contents","",,"2020 50th Annual IEEE/IFIP International Conference on Dependable Systems and Networks Workshops (DSN-W)","29 Jul 2020","2020","","","i","iv","Presents the table of contents/splash page of the proceedings record.","2325-6664","978-1-7281-7263-7","10.1109/DSN-W50199.2020.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151837","","","","","","","","","","29 Jul 2020","","","IEEE","IEEE Conferences"
"IWCMC 2018 TOC","",,"2018 14th International Wireless Communications & Mobile Computing Conference (IWCMC)","30 Aug 2018","2018","","","1","35","Presents the table of contents/splash page of the proceedings record.","2376-6506","978-1-5386-2070-0","10.1109/IWCMC.2018.8450282","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8450282","","","","","","","","","","30 Aug 2018","","","IEEE","IEEE Conferences"
"Table of Contents","",,"IEEE Communications Magazine","17 Oct 2019","2019","57","10","1","2","Presents the table of contents for this issue of the publication.","1558-1896","","10.1109/MCOM.2019.8875699","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8875699","","","","","","","","","","17 Oct 2019","","","IEEE","IEEE Magazines"
"[Confluence 2020 Front Matter]","",,"2020 10th International Conference on Cloud Computing, Data Science & Engineering (Confluence)","9 Apr 2020","2020","","","i","l","Conference proceedings front matter may contain various advertisements, welcome messages, committee or program information, and other miscellaneous conference information. This may in some cases also include the cover art, table of contents, copyright statements, title-page or half title-pages, blank pages, venue maps or other general information relating to the conference that was part of the original conference proceedings.","","978-1-7281-2791-0","10.1109/Confluence47617.2020.9058231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058231","","","","","","","","","","9 Apr 2020","","","IEEE","IEEE Conferences"
"Program","",,"2021 IEEE 18th Annual Consumer Communications & Networking Conference (CCNC)","11 Mar 2021","2021","","","1","20","Provides a schedule of conference events and a listing of which papers were presented in each session.","2331-9860","978-1-7281-9794-4","10.1109/CCNC49032.2021.9369511","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9369511","","","","","","","","","","11 Mar 2021","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 Chinese Control Conference (CCC)","17 Oct 2019","2019","","","1","67","The following topics are dealt with: control system synthesis; nonlinear control systems; Lyapunov methods; stability; closed loop systems; adaptive control; feedback; observers; learning (artificial intelligence); mobile robots.","1934-1768","978-9-8815-6397-2","10.23919/ChiCC.2019.8866607","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8866607","","","closed loop systems;control system synthesis;Lyapunov methods;nonlinear control systems;stability","control system synthesis;nonlinear control systems;Lyapunov methods;stability;closed loop systems;adaptive control;feedback;observers;learning (artificial intelligence);mobile robots","","","","","","17 Oct 2019","","","IEEE","IEEE Conferences"
"[Front cover]","",,"2018 Asian Hardware Oriented Security and Trust Symposium (AsianHOST)","10 Jan 2019","2018","","","c1","c12","The following topics are dealt with: cryptography; security of data; learning (artificial intelligence); telecommunication security; logic design; integrated circuit design; cryptographic protocols; power aware computing; private key cryptography; message authentication.","","978-1-5386-7471-0","10.1109/AsianHOST.2018.8607160","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8607160","","","cryptographic protocols;integrated circuit design;learning (artificial intelligence);logic design;message authentication;power aware computing;private key cryptography;telecommunication security","message authentication;private key cryptography;power aware computing;cryptographic protocols;integrated circuit design;logic design;telecommunication security;learning (artificial intelligence);security of data;cryptography","","","","","","10 Jan 2019","","","IEEE","IEEE Conferences"
"Author index","",,"2018 IEEE 43rd Conference on Local Computer Networks Workshops (LCN Workshops)","31 Jan 2019","2018","","","1","16","Presents an index of the authors whose articles are published in the conference proceedings record.","","978-1-5386-5097-4","10.1109/LCNW.2018.8628543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8628543","","","","","","","","","","31 Jan 2019","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2020 IEEE International Conference on Informatics, IoT, and Enabling Technologies (ICIoT)","11 May 2020","2020","","","1","10","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4821-2","10.1109/ICIoT48696.2020.9089586","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9089586","","","","","","","","","","11 May 2020","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 IEEE 19th International Conference on Software Quality, Reliability and Security Companion (QRS-C)","7 Oct 2019","2019","","","5","18","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-3925-8","10.1109/QRS-C.2019.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8859450","","","","","","","","","","7 Oct 2019","","","IEEE","IEEE Conferences"
"2018 International Conference on Cyber Security and Protection of Digital Services (Cyber Security)","",,"2018 International Conference on Cyber Security and Protection of Digital Services (Cyber Security)","6 Dec 2018","2018","","","1","10","Presents the table of contents/splash page of the proceedings record.","","978-1-5386-4683-0","10.1109/CyberSecPODS.2018.8560669","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560669","","","","","","1","","","","6 Dec 2018","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 IEEE 16th International Conference on Mobile Ad Hoc and Sensor Systems Workshops (MASSW)","9 Apr 2020","2019","","","5","9","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4121-3","10.1109/MASSW.2019.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9059323","","","","","","","","","","9 Apr 2020","","","IEEE","IEEE Conferences"
"[Front cover]","",,"2020 IEEE International Conference on Internet of Things and Intelligence System (IoTaIS)","23 Feb 2021","2021","","","c1","c17","Presents the front cover or splash screen of the proceedings record.","","978-1-7281-9448-6","10.1109/IoTaIS50849.2021.9359723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9359723","","","","","","","","","","23 Feb 2021","","","IEEE","IEEE Conferences"
"ISI 2020 Subject Index Page","",,"2020 IEEE International Conference on Intelligence and Security Informatics (ISI)","8 Dec 2020","2020","","","i","vi","Contains an entry for each technical presentation included in this conference proceedings.","","978-1-7281-8800-3","10.1109/ISI49825.2020.9280543","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9280543","","","","","","","","","","8 Dec 2020","","","IEEE","IEEE Conferences"
"Technical Program of LCN 2018 and Adjunct Workshops","",,"2018 IEEE 43rd Conference on Local Computer Networks (LCN)","10 Feb 2019","2018","","","i","xiv","Provides a schedule of conference events and a listing of which papers were presented in each session.","0742-1303","978-1-5386-4413-3","10.1109/LCN.2018.8638046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8638046","","","","","","","","","","10 Feb 2019","","","IEEE","IEEE Conferences"
"Contents Page","",,"2020 15th International Conference for Internet Technology and Secured Transactions (ICITST)","18 Feb 2021","2020","","","1","3","Presents the table of contents/splash page of the proceedings record.","","978-1-913572-21-1","10.23919/ICITST51030.2020.9351324","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9351324","","","","","","","","","","18 Feb 2021","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 IEEE International Conferences on Ubiquitous Computing & Communications (IUCC) and Data Science and Computational Intelligence (DSCI) and Smart Computing, Networking and Services (SmartCNS)","6 Feb 2020","2019","","","5","21","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-5209-7","10.1109/IUCC/DSCI/SmartCNS.2019.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8982644","","","","","","","","","","6 Feb 2020","","","IEEE","IEEE Conferences"
"Table of contents","",,"2019 IEEE Intl Conf on Parallel & Distributed Processing with Applications, Big Data & Cloud Computing, Sustainable Computing & Communications, Social Computing & Networking (ISPA/BDCloud/SocialCom/SustainCom)","26 Mar 2020","2019","","","5","36","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4328-6","10.1109/ISPA-BDCloud-SustainCom-SocialCom48970.2019.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9047459","","","","","","","","","","26 Mar 2020","","","IEEE","IEEE Conferences"
"Table of contents","",,"IEEE Transactions on Industrial Informatics","22 Jan 2020","2020","16","3","C1","1447","Presents the table of contents for this issue of this publication.","1941-0050","","10.1109/TII.2020.2965661","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8964531","","","","","","","","","IEEE","22 Jan 2020","","","IEEE","IEEE Journals"
"ISCC 2020 Keyword Index","",,"2020 IEEE Symposium on Computers and Communications (ISCC)","12 Oct 2020","2020","","","1","17","Contains an entry for each technical presentation included in this conference proceedings.","2642-7389","978-1-7281-8086-1","10.1109/ISCC50000.2020.9219679","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9219679","","","","","","","","","","12 Oct 2020","","","IEEE","IEEE Conferences"
"2019 UK/ China Emerging Technologies (UCET)","",,"2019 UK/ China Emerging Technologies (UCET)","24 Oct 2019","2019","","","1","5","The following topics are dealt with: learning (artificial intelligence); feature extraction; antenna radiation patterns; Internet of Things; medical signal processing; pattern classification; diseases; 5G mobile communication; neural nets; mobile computing.","","978-1-7281-2797-2","10.1109/UCET.2019.8881886","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8881886","","","antenna radiation patterns;feature extraction;Internet of Things;learning (artificial intelligence);medical signal processing","learning (artificial intelligence);feature extraction;antenna radiation patterns;Internet of Things;medical signal processing;pattern classification;diseases;5G mobile communication;neural nets;mobile computing","","","","","","24 Oct 2019","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2019 18th IEEE International Conference On Machine Learning And Applications (ICMLA)","17 Feb 2020","2019","","","5","37","Presents the table of contents/splash page of the proceedings record.","","978-1-7281-4550-1","10.1109/ICMLA.2019.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999352","","","","","","","","","","17 Feb 2020","","","IEEE","IEEE Conferences"
"Table of Contents","",,"2018 IEEE International Conference on Internet of Things (iThings) and IEEE Green Computing and Communications (GreenCom) and IEEE Cyber, Physical and Social Computing (CPSCom) and IEEE Smart Data (SmartData)","3 Jun 2019","2018","","","v","xxxviii","Table of Contents","","978-1-5386-7975-3","10.1109/Cybermatics_2018.2018.00004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8726856","","","","","","","","","","3 Jun 2019","","","IEEE","IEEE Conferences"
